utterance,focus_type,speaker,onglide_log,onglide
94,narrow,LV_98,0.436162647,1.73
96,broad,LV_98,0.463892989,1.91
98,broad,LV_98,0.348304863,1.23
99,contrastive,LV_98,0.818225894,5.58
19,contrastive,MG_96,0.599883072,2.98
20,narrow,MG_96,0.075546961,0.19
21,contrastive,MG_96,0.620136055,3.17
22,narrow,MG_96,0.5132176,2.26
23,contrastive,MG_96,0.440909082,1.76
24,narrow,MG_96,0.574031268,2.75
25,contrastive,MG_96,0.56937391,2.71
26,contrastive,MG_96,0.666517981,3.64
28,contrastive,MG_96,0.57863921,2.79
29,narrow,MG_96,0.567026366,2.69
31,broad,MG_96,-0.250420002,-0.78
32,narrow,MG_96,-0.730782276,-4.38
33,broad,MG_96,-0.559906625,-2.63
34,contrastive,MG_96,0.6599162,3.57
36,broad,MG_96,-0.418301291,-1.62
37,contrastive,MG_96,0.575187845,2.76
40,broad,MG_96,-0.598790507,-2.97
41,narrow,MG_96,0.526339277,2.36
42,broad,MG_96,0.385606274,1.43
43,narrow,MG_96,0.592176757,2.91
45,broad,MG_96,-0.593286067,-2.92
46,contrastive,MG_96,0.716837723,4.21
49,broad,MG_96,-0.595496222,-2.94
50,narrow,MG_96,0.53529412,2.43
51,narrow,MG_96,-0.57863921,-2.79
52,broad,MG_96,-0.301029996,-1
54,narrow,MG_96,-0.550228353,-2.55
55,narrow,MG_96,0.503790683,2.19
57,broad,MG_96,-0.728353782,-4.35
59,broad,MG_96,-0.555094449,-2.59
60,contrastive,MG_96,0.716837723,4.21
61,narrow,MG_96,-0.571708832,-2.73
62,broad,MG_96,-0.588831726,-2.88
63,contrastive,MG_96,0.686636269,3.86
64,broad,MG_96,-0.44870632,-1.81
65,broad,MG_96,0.5774918,2.78
67,contrastive,MG_96,0.318063335,1.08
68,narrow,MG_96,0.610660163,3.08
70,broad,MG_96,-0.354108439,-1.26
71,narrow,MG_96,0.527629901,2.37
72,contrastive,MG_96,0.635483747,3.32
73,narrow,MG_96,0.403120521,1.53
74,contrastive,MG_96,0.462397998,1.9
75,broad,MG_96,-0.633468456,-3.3
76,narrow,MG_96,NA,NA
77,narrow,MG_96,0.394451681,1.48
78,contrastive,MG_96,0.632457292,3.29
80,broad,MG_96,0.155336037,0.43
81,broad,MG_96,0.123851641,0.33
84,narrow,MG_96,-0.558708571,-2.62
85,contrastive,MG_96,0.539076099,2.46
87,broad,MG_96,-0.444044796,-1.78
88,narrow,MG_96,0.201397124,0.59
89,contrastive,MG_96,0.6599162,3.57
90,broad,MG_96,-0.638489257,-3.35
91,contrastive,MG_96,0.532754379,2.41
92,narrow,MG_96,0.371067862,1.35
93,contrastive,MG_96,0.629409599,3.26
94,contrastive,MG_96,0.631443769,3.28
97,broad,MG_96,-0.686636269,-3.86
19,broad,NP_97,-0.456366033,-1.86
21,contrastive,NP_97,0.378397901,1.39
22,narrow,NP_97,0.336459734,1.17
23,contrastive,NP_97,-0.397940009,-1.5
24,contrastive,NP_97,0.283301229,0.92
25,narrow,NP_97,-0.450249108,-1.82
26,broad,NP_97,-0.285557309,-0.93
27,contrastive,NP_97,0.390935107,1.46
29,broad,NP_97,-0.439332694,-1.75
30,narrow,NP_97,0.394451681,1.48
33,narrow,NP_97,0.51054501,2.24
34,contrastive,NP_97,-0.133538908,-0.36
35,broad,NP_97,0.396199347,1.49
36,narrow,NP_97,0.190331698,0.55
37,contrastive,NP_97,0.31386722,1.06
43,narrow,NP_97,0.401400541,1.52
44,contrastive,NP_97,0.113943352,0.3
46,broad,NP_97,NA,NA
47,narrow,NP_97,NA,NA
48,broad,NP_97,0.320146286,1.09
49,narrow,NP_97,0.267171728,0.85
50,broad,NP_97,NA,NA
51,contrastive,NP_97,NA,NA
54,narrow,NP_97,0.408239965,1.56
56,narrow,NP_97,0.225309282,0.68
58,contrastive,NP_97,0.423245874,1.65
59,contrastive,NP_97,0.334453751,1.16
60,broad,NP_97,0.206825876,0.61
63,broad,NP_97,-0.324282455,-1.11
64,contrastive,NP_97,0.457881897,1.87
65,narrow,NP_97,0.365487985,1.32
66,contrastive,NP_97,-0.238046103,-0.73
67,broad,NP_97,-0.392696953,-1.47
68,broad,NP_97,0.334453751,1.16
70,broad,NP_97,0.23299611,0.71
71,narrow,NP_97,-0.460897843,-1.89
73,broad,NP_97,-0.445604203,-1.79
75,narrow,NP_97,0.397940009,1.5
76,narrow,NP_97,0.170261715,0.48
79,contrastive,NP_97,NA,NA
80,broad,NP_97,-0.539076099,-2.46
81,broad,NP_97,0.285557309,0.93
83,broad,NP_97,-0.436162647,-1.73
84,contrastive,NP_97,0.334453751,1.16
85,contrastive,NP_97,-0.436162647,-1.73
86,broad,NP_97,-0.44870632,-1.81
